Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1.4418722257720238,1.435293298990776,0.3481675392670157,0.3424479166666667
1.359305835753211,1.386795222060755,0.3957787958115183,0.3665364583333333
1.2491912092057822,1.3391800775037457,0.4962369109947644,0.3919270833333333
1.1381744938995202,1.3705664691515267,0.5328861256544503,0.41796875
0.8756572463749591,1.3271717613873382,0.7009162303664922,0.40234375
0.625917456946604,1.3881964784425993,0.8196989528795812,0.4296875
0.3742064337358269,1.5187522591246914,0.9170484293193717,0.4186197916666667
0.17631141795576866,1.6438699457794428,0.9705497382198953,0.427734375
0.08410663895933104,1.903335643466562,0.9865837696335078,0.4108072916666667
0.04634943057073485,1.9624702671232324,0.9914921465968587,0.44140625
0.025748089083875113,2.024156208926191,0.994273560209424,0.4192708333333333
0.017886583573862677,2.161725917365402,0.9947643979057592,0.4173177083333333
0.014796804533405863,2.1815840726097426,0.9950916230366492,0.42578125
0.013785462358695849,2.2318371646106243,0.9952552356020943,0.4173177083333333
0.012828203999432516,2.2668837918899953,0.9952552356020943,0.4049479166666667
